,地板,椅子,桌台,地毯,桌子,墙壁,沙发,靠枕,橱柜,茶几,门窗,书柜,床,电视墙,床被,天花板,窗帘
19,e2e2e2,e2e2e2,,a9c4a1,e2e2e2,e2e2e2,,d3d3d3,44321a,,24251f,ddb34d,3a3a30,,ffffeb,ffffeb,
20,e5e2c3,23241e,,a9c4a1,e2dbc1,e3e2c4,,d1d1d1,e3e3e3,,25251d,e0b95a,3b3b33,,e3e3e3,e3e2c4,
21,402f15,d5ac54,,4a4935,d5ac54,c8e1e6,,d1d1d1,39392f,,24251f,ffffeb,731a1c,,ffffeb,cbe3e7,
22,402f15,181818,,9e9ec4,72251b,efefef,,d4d4d2,39393f,,eaeceb,f9f9f9,6c1e1a,,ffffeb,b0b0b0,
23,d2a64d,c3b598,,9f9fc5,742818,efefef,,d2d2d2,393931,,f9f9f9,f9f9f9,4b3921,,f9f9f9,b0b0b0,
24,b7a081,37372f,,bbbbbb,37372f,eaeceb,,aac4a9,44321a,,24251f,9d8970,39392f,,d8d8d8,eaeaea,
25,e4d3b9,cbbaa0,,e9acb4,e1ddb8,d2e7fc,,d1d1d1,dedab4,,a3a5a4,ffffff,ffffff,,ffffff,d2e7fc,
26,5c431b,,,b4cbb1,cdaa44,f8faf9,,ba4502,,,,,45464a,,ffffff,ffffff,e1e1e1
27,f6f6f6,,,ff8a4a,9b7739,f7f7f7,,f4bab6,,,,,282627,,ffffff,ffffff,ccc8a2
28,f7f3ce,,,6d2324,9d8339,fedfcd,,eba3a7,,,,,272727,,ffffff,fedfcd,cbcbc9
29,c5a47b,,,d47e67,ac8c51,dfd1b7,,f2eec1,,,,,f9cf96,,ffffff,dfd1b7,cbcbc10
30,d5b489,,,b8e8ff,161719,e5d7bd,,f9cfa7,,,,,f9cf96,,ffffff,e5d7bd,9bceeb
31,ddbb8e,,,75745f,161817,e9ddc3,,f7d5af,,,,,4e3a22,,ffffff,d9caad,5b5d48
32,dccdb0,,,c3bea8,0a0b0d,e9dec8,,fbd5b0,,,,,929493,,ffffff,dbccb5,5b5d49
33,ebdbc1,,,bfbaa6,cfa13f,e7dfc8,,9e7792,,,,,c3c3c3,,ffffff,d9c9af,757460
34,aec9e4,,,b9b7a0,b28b2e,e9dec8,,939393,,,,,ad9264,,e7e9b8,daccb2,757460
35,cebea4,,,44432e,dac17f,d8c8ae,,e0d7c5,c0b19e,,,,95876d,,979797,e2d3b6,3c3d2b
36,d7c7ad,,,c8e2f9,a6a69c,d5c7ad,,b0c67b,776348,,,,795d35,,c3c3c3,e3d3b9,a9c5db
37,5f1607,,,1e1e1e,ba8758,f0bf03,,b2bf55,c1871c,,,,a47503,,747675,facc04,4468b2
38,5f1708,,,2f3a18,a68e74,c7a87c,,e2adb5,b3a288,,,,190909,,c3c5c4,eccda1,3b5ea2
39,c5a57c,,,3a4622,bdbdbd,ccac83,,74c1af,b6b4b7,,,,81643c,,c9c9c9,e6c59a,dab2cd
40,97cbe3,,,c1c3c2,c18e61,a1cfe9,,98946f,ca7d11,,,,8a7149,,d4b1b5,aadbf9,a0bddb
41,bbbbbb,,,544027,c3c3ab,c3c3ab,,4a63a5,ffffff,,,,6b5a40,,c3c3ab,c3c3ab,836c42
42,bababa,,,c4c6c5,bababa,ebebeb,,845510,b6b6b6,,,,77664c,,c8cab2,c8cab2,907444
43,f6e3e5,,,e8c0db,c1bd98,ffdbdb,,dea9af,b9af8b,,,,604f35,,c9c9b1,ffe2e6,8a6b32
44,c6d168,,,3e4a24,c0bc96,d3e593,,acc270,a29c78,,,,614f37,,adaa89,c7e08f,513c11
45,f1a035,,,44432e,93906d,f6bf58,,b47100,9a9774,,,,37372d,,b8b896,fbd195,d38310
46,c5ecf1,,,a2d9ee,caad81,8ad0e9,,5576bb,ae9169,,,,68554e,,94cdd8,bcebfb,7fc0e0
47,e0ccb0,,,e2b6da,bbbbbb,d3c9e2,,a2a463,bbbbbb,,,,656565,,b7b7b7,e3d1df,d1aec6
48,e4d0b7,,,e7d1dd,bebebe,d6c9e3,,bb859d,bbbbbb,,,,595959,,c2b0bc,e3d1df,d1c0ca
49,e2ceb3,,,d4c6b9,bebebe,e4d6b9,,c288a0,a39278,,,,68554f,,b5b18e,f3efca,b9b9b9
50,e2d1b7,,,d0c0b3,bebebe,eadbbe,,ac8b44,eadbbe,,,,d0c0b3,,d5d5d5,e1d1b7,b7b7b7
51,e2d1b5,,b7b7b5,,,d8c8ae,cebeaf,f3f3f3,c0c0c0,c0c0c0,,,,bbbbbb,,d7c7ad,aaaaaa
52,ead9bb,,d8c7ab,,,d8c8ae,d8bc8d,f3f3f4,cebea4,e4e3e1,,,,bbbbbb,,d7c8ad,aaaaaa
53,dbdbdb,,d7c6aa,,,cbcdcc,d3c3aa,b8d581,d3c3a9,b6b6b6,,,,b8b8b8,,fefefe,a89a80
54,e0dab6,,a9885f,,,cfd1a0,e8dcc2,fbe5e7,997b55,c5b79c,,,,ddb18a,,e8e9af,cea1a4
55,e1dbb7,,bfc1c0,,,d4d6d5,95b2d0,f6edce,c4c6c5,987b51,,,,aeb0af,,e9e9e9,7a94ab
56,eed4c7,,909291,,,dfcfb5,9e9d88,a1a1a1,272727,c9b698,,,,c6b69c,,f4e3cf,754f28
57,d4d6d5,,c7c7c7,,,cecece,ad966c,836d44,ababab,583410,,,,a8a8a8,,ffffff,9b9b9b
58,c5b5a8,,cec0b5,,,97aece,daccbf,aaaaaa,242625,9e7f53,,,,bcbcbc,,b1b1b1,999999
59,d1c3b8,,b09783,,,d2d2d2,e0e0e0,818179,877257,282828,,,,b6b6b6,,e8e8e8,9b9b9b
60,c1b1a4,,d2c2a9,,,d7d3ad,d9d9d9,fafafa,b6b8b7,e2e4e1,,,,b9b9b9,,f9f9f9,b2a288
61,c0b0a1,,d2c2a8,,,bcb0a2,d8dad9,efefef,252726,c7b899,,,,c9b99f,,d6c6ac,ac8f63
62,b2956b,,a39c96,,,a99b90,d4d6d5,858585,a0734c,9a7b4f,,,,9b100f,,d5c5ac,ad9064
63,a1845a,,a78760,,,dbcbb1,c4a77f,b76955,8a5c3a,9b7b52,,,,979797,,d5c7ad,414141
64,56442c,,a78f73,,,e0d0b6,a4a38e,a77550,8d795e,262626,,,,838379,,d8c8ae,51533e
65,82260f,,919187,,,deceb4,c1ae90,a77550,8e795e,987019,,,,909086,,d1c1a7,857055
66,c2c7e5,,8f8f85,,,b5bedd,d8dffb,ae7e58,b2b4c3,997227,,,,939389,,ccd5f2,a6a6a6
67,d8d8d8,,949494,,,cacaca,1c1c1c,eebe96,8c8e8d,282828,,,,a38441,,fbfbfb,777777
68,faccce,,c7c7c7,,,f2c5ca,e9c5cf,bcd27d,ffffff,c8baa0,,,,bcbd9d,,fedadc,9d9d9d
69,abc5e0,,baaca1,,,abc9e5,e7ded5,b7d17a,ccbeb1,bcbbb9,,,,b5b58f,,91acc9,a1938a
70,bcd184,,c9cbca,,,b8cd80,7eb3a3,fbb7c4,ffffff,ffffff,,,,8fbbaa,,b7c671,9e8159
71,cebfa2,,ffffff,,,dfcfb5,af819e,fdb5c3,ffffff,ffffff,,,,bbb690,,cebb9d,294984
72,977a52,,ffffff,,,daceb6,d9be8f,cc6423,b3b3b3,b3b3b3,,,,b9b590,,e2d1b7,2b4b86
73,a08059,,c9c5a0,,,d8c9ac,949c73,ffffff,bab794,eaad05,,,,e4af07,,d2c3a6,9c9976
74,afd5c0,,8e8e8e,,,dcccb2,909d72,f7f7f7,303026,dddddb,,,,69784d,,c0ad8f,a8a47f
75,dadada,,8f9190,,,e2d2b8,a4b186,887152,303026,b8b8b8,,,,829369,,e7d8bb,857055
76,ecdec4,b8b8ae,a1a1a1,d4becb,2a2924,b7b896,a89a80,d7b184,dacab0,827c6e,,daccb1,,dacab0,,cbbc9f,a9885f
77,e4d4ba,683500,c69b2a,dcdbbc,dcdbbc,b8aea2,d4cdbd,c4a880,d3c3a9,7c7a6e,,d6c6ac,,d6c6ac,,d4c4aa,d4c4aa
78,ecc76e,d2b17b,b69d75,373938,0e0e0c,cbad6f,fdfdfd,c4df90,b48b33,7d7d7d,,826337,,d2c3a6,,d1c1a7,222625
79,d4e4c9,564126,cb992a,4e4d39,e8e8e8,d6c7aa,89a084,adac7c,adac7c,7c7c7a,,836438,,d8cab0,,d8cab0,a78b64
80,b3d3de,573d22,f3e7cd,52513c,d5d5d5,f8ecd6,91a488,6c6c46,3e2e15,727272,,877f58,,e8d3c0,,e8d3c0,9d7c53
81,e1e1e1,f4f4f4,be9d68,8f9e89,b4a391,fbf1d8,bba377,cfa200,b8ac9e,a07548,,9b7b66,,7c8e78,,d6c6ad,d7d3b0
82,d2c4aa,f9f6cd,c89829,8b8a75,5f350b,d4c6ab,e7dfd2,fdfdff,a4875d,fcfcfc,,c7b390,,987b53,,cdbda3,d4d1ae
83,d9dbda,292929,ecded1,9a9a9a,232323,f5f3ca,8d9f55,aa733a,dfcfb5,7c7c7c,,cbb590,,d6c6ac,,daecc6,cad5b5
84,dddddd,593803,ebdfd3,624a62,e9d423,f9f9f9,7fa2a6,91c3c2,deceb4,ac8b22,,d8cab0,,cbbda3,,faf6d0,d3d3d3
85,d0c0a7,f3f3f1,f6cf8a,d3d3d3,fde547,f9f5d0,c02513,a24b44,deceb4,f7fbfa,,d4c5ae,,f3d3c8,,f7f1cd,cbcbcb
86,67533a,613f00,f4cd8c,f1f3f2,ebd72a,ebd72a,9e9d6f,412e1d,ddcdb3,af8a22,,ccb28f,,ebcdc3,,f3f3f3,d5d4a8
87,d5d4a8,efefed,e8cda0,e8cda0,fde746,f3f5f4,68542f,f9f8bf,d4c4aa,ab891d,,d9cab3,,d9caad,,f8f8f8,cdca97
88,cfd1d0,ced09e,,ae9169,,fefefe,dcdead,f3bc58,a2855d,bebebe,,9d8054,,,,fefefe,9b7953
89,c19b36,bda889,,c19b36,,d8d8d8,a4875f,f3ac38,f3ac38,ed9c5b,,9c7f57,,,,9c7f57,9c7f57
90,9ab9d5,9ab9d5,,c2dbbb,,fefefe,e9d1de,657fca,dfdfdf,f3f1f4,,a8c6e2,,,,fefefe,b39192
91,fefefe,c6d4a1,,deceb4,,fefefe,cadaa9,2f3b13,e1e2c3,edefee,,b5ca7d,,,,feffff,ab9e8d
92,d2c4aa,bd8c61,,f5cbcd,,f4e9cd,9b6e47,283309,857055,f0f0f0,,fcfcfc,,,,f2e6cc,816d55
93,b3a79b,c49166,,d9daba,,f3e5ca,a4724d,a88b61,a16d45,eceeed,,e5e5e5,,,,f3e5ca,4d331c
94,c18f6c,be895d,,a3714c,,f2e3c6,9a6c48,aa8d63,d4d4d4,f5f1f0,,977f65,,,,f2e3c6,91795f
95,c38e66,cacaca,,cacccb,,e8d7bb,c2c4c1,e7c0c3,8b8b8b,ececec,,d2c2a8,,,,f8ead0,f8ead0
96,ba8661,cccecd,,dac9ab,,e2d3b6,d7d7d7,b5c879,9f8258,181a19,,a5802f,,,,ebebeb,705a42
97,cecece,cecece,,e2d1b5,,d0d0d0,d0d0d0,d0d0d0,a88b5f,191919,,bfafa2,,,,f6f6f6,6c5c43
98,d5cab4,cdcdcd,,e1d1b7,,f4e8ce,e4e2e3,cdcc9e,beaea1,beaea1,,9f7f58,,,,f4e8ce,f4e8ce
99,cdcdcd,dacab0,,dacde7,,f5f5f5,ebddc3,cecfa3,a0855a,b6a89b,,c0b0a3,,,,fefefe,6e5c44
100,cfcfcd,d9cbb0,,cfd1d0,,fefefe,c8b89e,b3af82,fefefe,fefefe,,fefefe,,,,fefefe,a59f7b
101,cdbfa5,1f1f21,,,a9a9a9,bcae94,cbb480,cacaca,d4c4aa,,,d4c4aa,,,,d4c4aa,97989a
102,c8baa0,373938,,,6e5d41,baac92,816c51,c8cac9,d3c3a9,,,d3c3a9,,,,d3c3a9,705a28
103,cec0a6,3b403c,,,81694f,b7a98f,725d42,cccaa4,a38760,,,9c8e74,,,,9c8e74,7a6236
104,c8ba9f,8a765e,,,69533c,beb096,f1cacd,cac7a4,d0c0a6,,,f5f1f0,,,,c0b298,8c7d60
105,cbbda3,61180f,,,69553a,bcac92,414342,bfbc99,282828,,,b5b5b5,,,,c5b9a1,beae94
106,cec0a6,806c53,,,691c12,b0b2b1,595959,d0cca9,afafaf,,,d3d3d3,,,,f5f5f5,89795f
107,c9bba0,c4b49a,,,665136,c3c5c4,b8cee6,a5d3ed,dcdcdc,,,dcdcdc,,,,dcdcdc,63829f
108,b9b9b9,c5b59b,,,21201e,aeaeae,d3d5d4,9cc8e1,c5c5c5,,,cfd1d0,,,,e2e4e3,87a5c1
109,ad8d64,c0b297,,,282828,fbfbfb,dddfde,eac0c2,b6b8b7,,,b6b8b7,,,,b6b8b7,886231
110,ad9066,c2b298,,,282828,fbfbfb,c2b298,c2b298,b6b8b8,,,b6b8b8,,,,b6b8b7,84846c
111,a3c4cb,c2b299,,,282828,fbfbfb,b6d1da,b2d1b1,b6b8b9,,,b6b8b8,,,,b6b8b7,8a8a8a
112,bbbbbb,654d2b,,,a6a8a7,adadad,846338,8c775c,cccccc,,,cccccc,,,,cccccc,83683b
113,daadb0,b5b5b5,,,b5b5b5,b5b5b5,c5a2ba,f5bcc3,ffffff,,,ffffff,,,,ffffff,a16e7d
114,bcbcbc,b7b7b7,,,b7b7b7,b0b0b0,956132,bd7e21,701910,,,924b35,,,,ffffff,934a27
115,bebebe,b4b4b4,,,b4b4b4,acacac,585858,b67718,282828,,,282828,,,,f2f4f3,af926a
116,2c2c24,adadad,,,adadad,a4875d,525252,bf8229,2d2d2d,,,2d2d2d,,,,2d2d2d,c0a077
117,c0a077,adadad,,,adadad,a4876d,1d1c18,ca8911,e1bf05,,,e1bf05,,,,c4b8a0,a88a64
118,c3c347,b2b2b2,,,aeaeae,a4b96c,a4b96c,c08424,a0bb6c,,,a0bb6c,,,,aabb74,a6895f
119,e4b78e,383838,,,383838,d4a780,9b9984,919187,e8be96,,,e8be96,,,,d4ad82,a88d60
120,e0b38a,383838,,,383838,d2a67f,80341d,d07f6a,deb28b,,,deb28b,,,,d8ac85,d8ac85
121,2e2e24,393b38,,,393b38,acacac,f3be54,b17d8a,e5bf8e,,,e5bf8e,,,,d3d5d4,8c8e5c
122,c9a245,565656,,,565656,fcfcfc,b5818e,b5818e,e7bf8e,,,e7bf8e,,,,fcfcfc,bc9a2e
123,d1a751,333333,,,333333,f1f3f2,7280bd,ed9720,f1f3f2,,,f1f3f2,,,,f1f3f2,b08a1f
124,d0b2aa,333532,,,ffffff,c8a9a4,ea8e21,ea8e21,c8a9a4,,,c8a9a4,,,,caaca4,aa8c84
125,bbbdbc,333532,,,ffffff,bcac92,833624,e08019,9f815b,,,9f815b,,,,9f815b,a68880
126,b7b7b7,333532,,,ffffff,bbab91,bbab91,e88621,dac7a7,,,dac7a7,,,,c2b298,91736b
127,a98c64,68543b,,,39392f,bdad93,,,c2b49a,,,c2b49a,,,,c2b49a,745d3e
128,d9d9d7,6a593f,,,6a593f,6a593f,,,d4c6ac,,,d4c6ac,,,,d4c6ac,77461b
129,e4e4e4,ebdcbd,,,77461b,d7c8ab,,,77461b,,,77461b,,,,b6a88e,855121
130,eee0c6,444444,,,624d30,624d30,,,624d30,,,624d30,,,,624d30,754515
131,f4e6cc,8b4835,,,8b4835,dbccaf,,,96673d,,,96673d,,,,d9caad,7e694e
132,7e694e,424242,,,424242,acd5d9,,,81c7c7,,,81c7c7,,,,d10caad,9fcea2
133,aec5a8,434544,,,6a2627,d3d5d4,,,797863,,,797863,,,,d3d5d4,9eb09a
134,aac1a4,9eb09a,,,9eb09a,a9bc9c,,,6f6e59,,,6f6e59,,,,98af95,8e9d8a
135,ededed,edc46a,,,edc46a,ededed,,,1e1e14,,,1e1e14,,,,ededed,1e1e14
136,dadada,dfc7ab,,,c9c087,eeeeee,,,c9c087,,,c9c087,,,,eeeeee,c9c087
137,9e896e,e1c9ad,,,e1c9ad,e1c9ad,,,e1c9ad,,,e1c9ad,,,,e1c9ad,e1c9ad
138,ffdd7c,383830,,,383830,dfac41,,,dfac41,,,dfac41,,,,cfa23d,dfac41
139,fbcb67,383830,,,383830,d3af71,,,c6a440,,,c6a440,,,,c4a167,735a3c
140,5b0302,3b3b31,,,3b3b31,e1bf80,,,c3a03c,,,c3a03c,,,,c8a36c,725a3e
141,d4e1ea,e0e0e0,,,35352b,d4b2a9,,,d1aca4,,,d1aca4,,,,c69f98,d3a166
142,bfd0da,ebdabc,,,383830,dcccab,,,2f2f2f,,,2f2f2f,,,,b4a68c,dba25f
143,cbdbe8,e8dabf,,,39392f,d9caab,,,cbbda3,,,cbbda3,,,,b2a48a,cf9d68
144,bfcfdc,abbca9,,,393931,e4d1b0,,,cec0a6,,,cec0a6,,,,cec0a6,dea764
145,cbd9e2,fdd6ab,,,a1c0dc,d5c5a4,,,c8baa0,,,c8baa0,,,,b3a58b,deab6c
146,cee2c7,ffdcb6,,,9ebcd8,ead0b7,,,d1c3a9,,,d1c3a9,,,,b9a78f,da9c91
147,bbcdb3,fddbae,,,79c4ca,cdbea1,,,b9ab91,,,b9ab91,,,,b9ab91,3f3f59
148,f0cbc3,6b573e,,,bebebe,e5d9c1,,,cdbfa5,,,cdbfa5,,,,cdbfa5,46465e
149,ecebe7,635238,,,743548,c9bba1,,,c5b79c,,,baaa91,,,,baaa91,4e5069
150,e4e3e1,66553b,,,37354d,e8dcc4,,,e8dcc4,,,e8dcc4,,,,e8dcc4,4e5070
151,d1c1a7,,,d8caaf,b5b7b6,f8edd9,7d7b66,978267,fff9ef,9e8157,2e2e2c,cdc0a0,,,,d8c8ae,3a3937
152,7dadde,,,77a6dc,b7b9b8,f4e9d3,c52348,978267,f2f2f0,9e8158,2e2e3c,cdc0a1,,,,f4e9d3,3a3938
153,7babd9,,,d3c5aa,7f6a4f,d0c2a8,d0656b,796449,a99f86,fdfdfb,676c68,b5a58c,,,,d0c2a8,a58860
154,7ba7d4,,,b68c8e,79654c,d6c6af,d94c3a,7e694c,a0947a,baaa9d,676c69,b5a59c,,,,d6c6af,b89b71
155,73a3d4,,,b7b79f,2e302f,cabca2,8c785f,e4a5b0,a99d85,dcb45c,551b0f,b3a78d,,,,d0c0a6,b59870
156,6fa1d2,,,e7c0c3,333333,c9bba1,907c64,ffe55a,ad9863,cba246,232325,b6ac89,,,,d2c3a6,bba88a
157,75a5d3,,,b7b79f,2f2f2f,c2b49a,8e7a61,ffbbc6,947850,cfa84d,9b7c46,b99575,,,,d4c4aa,3a578f
158,aac4df,,,afaf97,2d2d2d,d1c3a9,89755c,bed386,f9f9f9,cda84d,a88a54,c2a480,,,,d4c5aa,932d21
159,b9d3ec,,,c2b7d5,7a694f,b9ab91,8a745c,a05542,e9ebea,ad8f69,927646,977b54,,,,d9cbb1,813a28
160,b0cae5,,,b8b7a2,79654c,d3c4ad,d0a4b3,7c311e,515153,9a7e56,997845,947a61,,,,ddcfb5,5c5a4b
161,dbcaae,,,d5c6a9,632115,ded2b8,853c1c,994c3a,a04c1d,987b53,c0a475,655035,,,,ded2b8,4e4d3b
162,dbccb5,,,ae554f,672024,eee3cd,8c4845,9b4a47,b3625e,3f4140,ab946b,141613,,,,eee3cd,751c22
163,d1c1a7,,,e1ab7c,fafaf8,e6dac2,817e6b,796449,4f4f4f,3e3e3e,987c4d,161618,,,,daccb2,7e191d
164,d7cbb3,,,ecb386,b0b0ae,f1e9d4,969583,7c674a,4c4c4c,b3b3b3,a4a3a1,1b1d12,,,,f1e9d4,751523
165,d9cdb5,,,484848,2e2e2e,eadfcb,b49a75,725d42,4e4e46,a4a4a2,282c2b,131416,,,,d2c2a9,453841
166,d8ccb4,,,444444,303030,e8dcc4,b39974,7e694c,7e6b4d,8fadb5,2d292a,cd9c8b,,,,d9c9af,2f1f2a
167,d9cdb5,,,474747,2d2d2d,b7b0a0,4a370f,725766,3f2d15,ffffff,484c4b,aaa6a3,,,,dfd1b7,d7d3c8
168,56141e,,,111111,282a29,e0d4be,773c42,988090,2c2e2d,acacac,252628,350006,,,,ded3bd,c39b5d
169,5f1522,,,4b4b4b,571a21,c2b298,70313a,7d684b,561720,762f35,fdfdfb,3e0400,,,,e0d4ba,8f7749
170,5b1923,,,494949,571c22,f3e8d4,75333d,372815,87765c,7d684d,4d1d1d,4b000b,,,,f3e8d4,907142
171,e7e7e5,,,c7be93,cfb56a,ac9c82,918f7a,7a6548,9d8e79,7e694c,2d2b2c,82adda,,,,ac9c82,986a2e
172,e6e6e6,,,aeab88,2f2f2f,e6e6e6,979681,905604,ebebeb,373737,6c6c6c,86a7ca,,,,e6e6e6,c8a259
173,dfdfdf,,,d79831,987c55,fdfdfd,cb9500,9d6602,9a7a3f,752818,212121,bb9f70,,,,fdfdfd,af9057
174,999677,,,59594f,9c8156,e3e3e3,daad84,8c623c,e3e3e3,90785c,212121,ae9366,,,,e3e3e3,af9057
175,989576,,,dfc7d4,987b53,e2d2b8,9c886f,d9c5aa,fffeff,806b4e,262729,c6ad84,,,,e2d2b8,c39a5c
176,eeddc1,373938,,,e4d6bc,d8cab0,,,,,,9c8156,,,,d8cab0,947851
177,64401e,150a0a,,,95630c,e1e1df,,,,,,978668,,,,e1e1df,88623d
178,ffffff,150a1a,,,99784b,ffffff,,,,,,989779,,,,ffffff,88624d
179,eedabf,815331,,,927344,ddcfb4,,,,,,5e3108,,,,ddcfb4,cdbda3
180,f2dfc1,ffffff,,,3e3e3e,ddcfb4,,,,,,653801,,,,ddcfb4,ffffff
181,f3e2c6,ffffff,,,e3d5bb,a1babf,,,,,,642f05,,,,a1babf,ffffff
182,abc4c9,977a52,,,e3d3b9,abc4c9,,,,,,613007,,,,abc4c9,ffffff
183,bdd6dd,414141,,,ffffff,a5c0c7,,,,,,c3bba4,,,,a5c0c7,adc7e0
184,fbe5f1,353535,,,ffffff,fbe0ef,,,,,,ffffff,,,,fbe0ef,9f6977
185,e0b7d5,afcae5,,,ffffff,cab6c2,,,,,,ffffff,,,,cab6c2,3d5b99
186,fefefe,715d45,,,fefefe,fefefe,,,,,,353736,,,,fefefe,646651
187,ffffff,bad07d,,,ffffff,ffffff,,,,,,414340,,,,ffffff,5b5a45
188,fdfffe,6e5a41,,,fdfffe,fdfffe,,,,,,968164,,,,fdfffe,6f5b42
189,cfe5f0,434339,,,ffffff,fdfffe,,,,,,807f6b,,,,fdfffe,83553d
190,a6c1de,622216,,,7b1b05,e2d4ba,,,,,,7d1d05,,,,e2d4ba,91754e
191,d3c5aa,333333,,,feffff,d3c5aa,,,,,,,,,,d3c5aa,
192,d3c5aa,333333,,,ebdbce,d3c5aa,,,,,,,,,,d3c5aa,
193,d3c6aa,ffffff,,,ebdbce,d3c6aa,,,,,,,,,,d3c6aa,
194,dbcdb3,ffffff,,,ffffff,dbcdb3,,,,,,,,,,dbcdb3,
195,dbcdb4,c19a63,,,ffffff,dbcdb4,,,,,,,,,,dbcdb4,
196,dbcdb5,ffffff,,,ffffff,ffffff,,,,,,,,,,ffffff,
197,e0e0e0,333333,,,e0e0e0,e0e0e0,,,,,,,,,,e0e0e0,
198,be9d72,662313,,,ffffff,e3dbc6,,,,,,,,,,e3dbc6,
199,be9d72,621f0f,,,846840,dbcbb1,,,,,,,,,,dbcbb1,
200,c3a277,ffffff,,,636564,e6dbc5,,,,,,,,,,e6dbc5,
201,c9e4ed,ffffff,,,636564,c9e4ed,,,,,,,,,,c9e4ed,
202,3e2e15,353736,,,996104,ebd9c3,,,,,,,,,,ebd9c3,
203,4b260b,343635,,,9b6304,ebe0ca,,,,,,,,,,ebe0ca,
204,9c9b7d,9a6000,,,474948,ede2cc,,,,,,,,,,ede2cc,
205,dcceb4,7a3f2f,,,f7e9cf,dcceb4,,,,,,,,,,dcceb4,
206,ad9f92,2f2f27,,,fdd06b,ffffff,,,,,,,,,,ffffff,
207,b1a096,ffffff,,,c1defc,ffffff,,,,,,,,,,ffffff,
208,b3a598,ffffff,,,bfdcfa,b6a89d,,,,,,,,,,b6a89d,
209,b3a599,333333,,,f3dfc4,b6a90d,,,,,,,,,,b6a90d,
210,b0a297,363636,,,866a43,b6a89d,,,,,,,,,,b6a89d,
211,b4a497,9d9d93,,,c1b7ae,d3c5ba,,,,,24241c,9c9b7c,,,,c1b1a4,9f8258
212,b0a093,101010,,,a4978e,c9bbb0,,,,,24241c,9c9b7c,,,,c9bbb0,a3865c
213,b4a497,2c2e2b,,,f5fafd,c9bbb1,,,,,24241c,9c9b7c,,,,c5b5a6,a3866c
214,d1c3a9,c9aa7b,,,f5fafd,c9bbb2,,,,,24242c,a1845a,,,,c2b2a5,a3865c
215,d1c3a9,a8a8a8,,,121413,d3c2b8,,,,,353533,a3865e,,,,c1b3a6,916038
216,d0c2a8,a6a6a6,,,7e522f,cfc1b6,,,,,30302e,ffffff,,,,c1b1a4,885830
217,d1c2ab,e3b38b,,,754a28,cfc2b9,,,,,6c3f16,ffffff,,,,c0b0a1,8f5e36
